Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Chris Bassitt,33,15,9,.625,3.42,30,30,0,0,0,0,181.2,159,71,69,19,49,0,167,13,1,5,745,113,3.66,1.145,7.9,0.9,2.4,8.3,3.41,bassich01
2,SP,Taijuan Walker,29,12,5,.706,3.49,29,29,0,0,0,0,157.1,143,63,61,15,45,1,132,6,0,0,649,111,3.65,1.195,8.2,0.9,2.6,7.6,2.93,walketa01
3,SP,Carlos Carrasco,35,15,7,.682,3.97,29,29,0,0,0,0,152.0,161,71,67,17,41,2,152,8,0,5,645,97,3.53,1.329,9.5,1.0,2.4,9.0,3.71,carraca01
4,SP,Max Scherzer,37,11,5,.688,2.29,23,23,0,0,0,0,145.1,108,39,37,13,24,0,173,11,0,1,565,169,2.62,0.908,6.7,0.8,1.5,10.7,7.21,scherma01
5,SP,David Peterson*,26,7,5,.583,3.83,28,19,0,0,0,0,105.2,93,50,45,11,48,1,126,7,0,3,454,101,3.64,1.334,7.9,0.9,4.1,10.7,2.63,peterda01
6,SP,Jacob deGrom,34,5,4,.556,3.08,11,11,0,0,0,0,64.1,40,22,22,9,8,0,102,0,0,0,239,126,2.13,0.746,5.6,1.3,1.1,14.3,12.75,degroja01
7,CL,Edwin Díaz,28,3,1,.750,1.31,61,0,49,0,0,32,62.0,34,9,9,3,18,1,118,2,0,2,235,297,0.90,0.839,4.9,0.4,2.6,17.1,6.56,diazed04
8,RP,Adam Ottavino,36,6,3,.667,2.06,66,0,19,0,0,3,65.2,48,15,15,6,16,2,79,5,0,7,258,188,2.85,0.975,6.6,0.8,2.2,10.8,4.94,ottavad01
9,RP,Seth Lugo,32,3,2,.600,3.60,62,0,20,0,0,3,65.0,58,26,26,9,18,1,69,3,0,2,272,108,3.76,1.169,8.0,1.2,2.5,9.6,3.83,lugose01
10,RP,Joely Rodriguez*,30,2,4,.333,4.47,55,0,9,0,0,0,50.1,42,28,25,3,26,1,57,1,0,2,216,87,3.23,1.351,7.5,0.5,4.6,10.2,2.19,rodrijo06
11,RP,Drew Smith,28,3,3,.500,3.33,44,0,6,0,0,0,46.0,38,17,17,9,15,0,53,0,0,0,187,117,4.33,1.152,7.4,1.8,2.9,10.4,3.53,smithdr01
12,,Trevor Williams,30,3,5,.375,3.21,30,9,5,0,0,1,89.2,87,34,32,12,23,1,84,4,0,1,372,120,3.88,1.227,8.7,1.2,2.3,8.4,3.65,willitr01
13,,Tylor Megill,26,4,2,.667,5.13,15,9,2,0,0,0,47.1,46,27,27,7,13,0,51,1,0,1,200,76,3.77,1.246,8.7,1.3,2.5,9.7,3.92,megilty01
14,,Chasen Shreve*,31,1,1,.500,6.49,25,0,4,0,0,0,26.1,27,19,19,6,10,1,29,0,0,2,114,60,5.01,1.405,9.2,2.1,3.4,9.9,2.90,shrevch01
15,,Trevor May,32,2,0,1.000,5.04,26,0,6,0,0,1,25.0,27,14,14,4,9,0,30,0,0,0,111,78,3.87,1.440,9.7,1.4,3.2,10.8,3.33,maytr01
16,,Adonis Medina,25,1,0,1.000,6.08,14,0,6,0,0,1,23.2,30,18,16,2,6,0,17,4,1,0,110,64,4.04,1.521,11.4,0.8,2.3,6.5,2.83,medinad01
17,,Tommy Hunter,35,0,1,.000,2.42,18,0,7,0,0,0,22.1,21,8,6,4,6,0,22,0,0,1,94,162,4.28,1.209,8.5,1.6,2.4,8.9,3.67,hunteto02
18,,Stephen Nogosek,27,1,1,.500,2.45,12,0,3,0,0,0,22.0,20,10,6,4,7,0,21,1,0,1,95,160,4.66,1.227,8.2,1.6,2.9,8.6,3.00,nogosst01
19,,Mychal Givens,32,1,1,.500,4.79,19,1,7,0,0,0,20.2,24,12,11,3,6,1,20,2,0,1,88,82,4.22,1.452,10.5,1.3,2.6,8.7,3.33,givenmy01
20,,Colin Holderman,26,4,0,1.000,2.04,15,0,5,0,0,0,17.2,11,6,4,0,7,0,18,0,0,0,67,193,2.26,1.019,5.6,0.0,3.6,9.2,2.57,holdeco01
21,,Yoan López,29,1,0,1.000,5.73,8,0,5,0,0,0,11.0,14,8,7,2,5,1,10,1,0,0,51,70,5.29,1.727,11.5,1.6,4.1,8.2,2.00,lopezyo01
22,,Sean Reid-Foley,26,0,0,,5.40,7,0,3,0,0,0,10.0,7,6,6,1,7,0,8,1,0,0,44,74,5.21,1.400,6.3,0.9,6.3,7.2,1.14,reidfse01
23,,Jake Reed,29,1,0,1.000,11.37,5,0,1,0,0,0,6.1,4,8,8,2,6,0,6,1,0,0,30,36,8.64,1.579,5.7,2.8,8.5,8.5,1.00,reedja02
24,,José Butto,24,0,0,,15.75,1,1,0,0,0,0,4.0,9,7,7,2,2,0,5,0,0,0,23,27,8.61,2.750,20.3,4.5,4.5,11.3,2.50,buttojo01
25,,Alex Claudio*,30,0,0,,0.00,3,0,2,0,0,0,3.1,1,0,0,0,2,0,2,0,0,0,13,,3.71,0.900,2.7,0.0,5.4,5.4,1.00,claudal01
26,,Bryce Montes de Oca,26,0,0,,10.80,3,0,1,0,0,0,3.1,7,4,4,0,2,0,6,0,0,1,19,40,1.31,2.700,18.9,0.0,5.4,16.2,3.00,montebr01
27,,Nate Fisher*,26,0,0,,0.00,1,0,0,0,0,0,3.0,1,0,0,0,2,0,1,0,0,0,11,,4.45,1.000,3.0,0.0,6.0,3.0,0.50,fishena01
28,,R.J. Alvarez,31,0,1,.000,11.57,1,0,0,0,0,0,2.1,4,3,3,2,3,0,2,0,0,0,13,39,16.40,3.000,15.4,7.7,11.6,7.7,0.67,alvarrj01
29,,Darin Ruf,35,0,0,,0.00,1,0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,7,,3.11,0.500,4.5,0.0,0.0,0.0,,rufda01
30,,Thomas Szapucki*,26,0,1,.000,60.75,1,1,0,0,0,0,1.1,7,9,9,4,3,0,2,0,0,0,13,8,45.86,7.500,47.3,27.0,20.3,13.5,0.67,szaputh01
31,,Sam Clay*,29,0,0,,0.00,1,0,1,0,0,0,1.0,1,1,0,0,1,0,2,0,0,0,6,,2.11,2.000,9.0,0.0,9.0,18.0,2.00,claysa01
32,,Rob Zastryzny*,30,0,0,,9.00,1,0,0,0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,4,60,1.11,1.000,9.0,0.0,0.0,9.0,,zastrro01
,,Team Totals,31.4,101,61,.623,3.57,162,162,162,0,0,41,1438.2,1274,606,570,169,428,13,1565,71,2,35,5950,108,3.50,1.183,8.0,1.1,2.7,9.8,3.66,-9999
,,Rank in 15 NL teams,,2,13,,3,,,,10,1,8,6,5,2,3,7,2,,1,,,,,,,,,,,,,-9999
